token_ID_within_document,word,lemma,before,after,word_lc
235,plagiaristic,plagiaristic,#, ,plagiaristic
236,and,and,#, ,and
237,marred,mar,#, ,marred
238,by,by,#, ,by
239,obvious,obvious,#, ,obvious
240,suppressions,suppression,#,#,suppressions
241,.,.,#, ,.
242,Reserving,reserve,#, ,reserving
243,judgements,judgement,#, ,judgements
244,is,be,#, ,is
245,a,a,#, ,a
246,matter,matter,#, ,matter
247,of,of,#, ,of
248,infinite,infinite,#, ,infinite
249,hope,hope,#,#,hope
250,.,.,#, ,.
251,I,I,#, ,i
252,am,be,#, ,am
253,still,still,#, ,still
254,a,a,#, ,a
255,little,little,#, ,little
256,afraid,afraid,#, ,afraid
257,of,of,#, ,of
258,missing,miss,#, ,missing
259,something,something,#, ,something
260,if,if,#, ,if
261,I,I,#, ,i
262,forget,forget,#, ,forget
263,that,that,#,#,that
264,",",",",#, ,","
265,as,as,#, ,as
266,my,my,#, ,my
267,father,father,#, ,father
268,snobbishly,snobbishly,#, ,snobbishly
269,suggested,suggest,#,#,suggested
270,",",",",#, ,","
271,and,and,#, ,and
272,I,I,#, ,i
273,snobbishly,snobbishly,#, ,snobbishly
274,repeat,repeat,#,#,repeat
275,",",",",#, ,","
276,a,a,#, ,a
277,sense,sense,#, ,sense
278,of,of,#, ,of
279,the,the,#, ,the
280,fundamental,fundamental,#, ,fundamental
281,decencies,decency,#, ,decencies
282,is,be,#, ,is
283,parcelled,parcel,#, ,parcelled
284,out,out,#, ,out
285,unequally,unequally,#, ,unequally
286,at,at,#, ,at
287,birth,birth,#,#,birth
288,.,.,#, ,.
289,And,and,#,#,and
290,",",",",#, ,","
291,after,after,#, ,after
292,boasting,boast,#, ,boasting
293,this,this,#, ,this
294,way,way,#, ,way
295,of,of,#, ,of
296,my,my,#, ,my
297,tolerance,tolerance,#,#,tolerance
298,",",",",#, ,","
299,I,I,#, ,i
300,come,come,#, ,come
301,to,to,#, ,to
302,the,the,#, ,the
303,admission,admission,#, ,admission
304,that,that,#, ,that
305,it,it,#, ,it
306,has,have,#, ,has
307,a,a,#, ,a
308,limit,limit,#,#,limit
309,.,.,#, ,.
