word,definition
unutterably,"You can use unutterable to emphasize that something, especially a bad quality, is great in degree or intensity."
bloody,"covered, smeared, or running with blood."
unscrupulously,having or showing no moral principles; not honest or fair.
insolent,showing a rude and arrogant lack of respect.
gloom,.partial or total darkness
gloom,a state of depression
intolerable,unable to be endured.
fright,a sudden intense feeling of fear.
vacuous,having or showing a lack of thought or intelligence; mindless
suspicious,having or showing a cautious distrust of someone or something
arrogant,having or revealing an exaggerated sense of one's own importance or abilities
murdered,the unlawful premeditated killing of one human being by anothe
murdered,"Something very hard, unsafe, or disagreeable to do or deal with"
dangerously,in a way that is able or likely to cause harm or injury
dangerously,in a way that is likely to cause problems or to have adverse consequences
gloomily,in a way that is sad and without hope
gloomily,"Partially or totally dark, especially dismal and dreary"
obliterated,loud and difficult to ignore but often unreasonable
shrill,loud and difficult to ignore but often unreasonable
shrill,having a sharp or vivid effect on the senses
shrill,having or emitting a sharp high-pitched tone or sound 
suspiciously,with a cautious distrust or suspicion of someone or something
suspiciously,in a way that arouses suspicion or distrust
angry,"feeling or showing strong annoyance, displeasure, or hostility; full of anger"
rakish,"having or displaying a dashing, jaunty, or slightly disreputable quality or appearance"
bribed,a sum of money or other inducement offered or given to bribe someone
bribed,"persuade (someone) to act in one's favor, typically illegally or dishonestly, by a gift of money or other inducement"
demoniac,a person believed to be possessed by an evil spirit
demoniac,"of, like, or characteristic of a demon or demons"
demoniac,"of, relating to, or worthy of an evil spiri"
apparition,a ghost or ghostlike image of a person
apparition,"the appearance of something remarkable or unexpected, typically an image of this type."
apparition,a ghost or ghostlike image of a person.
madman,a man who is or acts as if insane
madman,an extremely foolish or reckless person
hated,feel intense or passionate dislike for (someone)
hated,intense or passionate dislike
hate,feel intense or passionate dislike for (someone)
hate,intense or passionate dislike
meretricious,apparently attractive but having in reality no value or integrity.
swindler,a person who uses deception to deprive someone of money or possessions
strangled,hamper or hinder the development or activity of
strangled,"squeeze or constrict the neck of (a person or animal), especially so as to cause death."
spidery,"resembling a spider, especially having long, thin, angular lines like a spider's legs"
violently,in a very strong or vigorous manner
violently,"using physical force intended to hurt, damage, or kill someone or something"
brute,a savagely violent person or animal
euphemisms,a mild or indirect word or expression substituted for one considered to be too harsh or blunt when referring to something unpleasant or embarrassing.
elocution,"the skill of clear and expressive speech, especially of distinct pronunciation and articulation.lessons in singing and elocution"
foreground,"the part of a view that is nearest to the observer, especially in a picture or photograph."
proprietor,"the owner of a business, or a holder of property"
coherence,the quality of being logical and consistent.
radiated,diverge or spread from or as if from a central point.
dismounted,"alight from a horse, bicycle, or other thing that one is riding."
ambiguously,so as to be open to doubt or uncertainty
ambiguously,so as to be open to more than one interpretation.
amorphous,without a clearly defined shape or form
baffled,To bewilder completely; to confuse or perplex. 
barely,scantily; meagerly; sparsely.
barely,something barely there is hardly there at all
bewildered,"perplexed and confused; very puzzled, baffled"
blurred,unable to see or be seen clearly
confused,cause (someone) to become bewildered or perplexed
confuse,cause (someone) to become bewildered or perplexed
confused,(of a person) unable to think clearly; bewildered
confusion, the quality or state of being confused
dazed,unable to think or react properly; bewildered.
dimmed,"(of a light, color, or illuminated object) not shining brightly or clearly"
dimmed,not clearly recalled or formulated in the mind
dim,"(of a light, color, or illuminated object) not shining brightly or clearly"
dim,not clearly recalled or formulated in the mind
dimly,not bright; obscure from lack of light or emitted light
dimly,not seen clearly or in detail; indistinct
dimly,not clear to the mind; vague
dizzy,"make (someone) feel unsteady, confused, or amazed"
dizzy,having or involving a sensation of spinning around and losing one's balance
dusk,the darker stage of twilight
dusk,"shadowy, dim, or dark"
dusty,"(of a color) dull or muted, muted, faded"
dusty,"covered with, full of, or resembling dust."
elusive,"difficult to describe, find, achieve, or remember"
elusive,"difficult to find, catch, or achieve."
emptiness,the state of containing nothing
emptiness,the quality of lacking meaning or sincerity; meaninglessness
faded,gradually grow faint and disappear.
faint,"(of a sight, smell, or sound) barely perceptible"
faint,weak and dizzy; close to losing consciousness
faint,a sudden loss of consciousness
faintest,"(of a sight, smell, or sound) barely perceptible"
faintest,weak and dizzy; close to losing consciousness
faintest,a sudden loss of consciousness
fainted,"(of a sight, smell, or sound) barely perceptible"
fainted,weak and dizzy; close to losing consciousness
fainted,a sudden loss of consciousness
faintly,"Something that's done faintly is very weak, quiet, or almost imperceptible. "
flabby,lacking resilience or firmness
flabby, weak and ineffective. Feeble
flickered,to appear for a short time or to make a sudden movement:
flickered,an unsteady movement of a flame or light that causes rapid variations in brightness.
flickered,(of light or a source of light) shine unsteadily; vary rapidly in brightness.
flicker,to appear for a short time or to make a sudden movement:
flicker,an unsteady movement of a flame or light that causes rapid variations in brightness.
flicker,(of light or a source of light) shine unsteadily; vary rapidly in brightness.
formless,without a clear or definite shape or structure
hardly,only just; scarcely; no more than; almost not
hardly,scantily; meagerly; sparsely.
haze,fog 
haze,a state of mental obscurity or confusion
haze,covered by a haze
hazy,"vague, indistinct, or ill-defined"
hint,a slight or indirect indication or suggestion
hinted,a slight or indirect indication or suggestion
impenetrable,incapable of being comprehended
incoherent,lacking normal clarity or intelligibility in speech or thought
indecipherable,"impossible to decode, read, understand or comprehend."
indefinable,not able to be defined or described exactly.
indefinite,not clearly expressed or defined; vague
indefinite,lasting for an unknown or unstated length of time
indefinitely,to an unlimited or unspecified degree or extent.
indefinitely,for an unlimited or unspecified period of time
indeterminate,"not exactly known, established, or defined"
indiscernible,impossible to see or clearly distinguish
indistinguishably,not clearly recognizable or understandable
indistinguishably,lacking identifying or individualizing qualities
ineffable,too great or extreme to be expressed or described in words
lightheaded,dizzy and slightly faint.
melancholy,"a feeling of sadness, typically with no obvious cause."
milky,resembling milk in color
milky,Anything milky looks like milk — it's whitish and cloudy
mist,something that obscures understanding
mist,water in the form of particles floating or falling in the atmosphere at or near the surface of the earth and approaching the form of rain
mistaken,wrong in one's opinion or judgment
mistaken,(especially of a belief) based on or resulting from a misunderstanding or faulty judgment
misunderstanding,a failure to understand something correctly.
muddy,covered in or full of mud
muddy,to make a situation more confusing or difficult
muffled,obstructed in some way; muted
murky,"not fully explained or understood, especially with concealed dishonesty or immorality"
murky,"dark and gloomy, "
murky,"dark and gloomy, especially due to thick mist"
murky,"not fully explained or understood, especially with concealed dishonesty or immorality."
murmuring,"a soft, indistinct sound made by a person or group of people speaking quietly or at a distance"
murmuring,"say something in a low, soft, or indistinct voice"
murmur,"a soft, indistinct sound made by a person or group of people speaking quietly or at a distance"
murmur,"say something in a low, soft, or indistinct voice"
murmured,"a soft, indistinct sound made by a person or group of people speaking quietly or at a distance"
murmured,"say something in a low, soft, or indistinct voice"
murmurs,"a soft, indistinct sound made by a person or group of people speaking quietly or at a distance"
murmurs,"say something in a low, soft, or indistinct voice"
nebulous,"unclear, vague, or ill-defined"
notions,a conception of or belief about something
notions,a fanciful or foolish idea; whim
notions,a general understanding; vague or imperfect conception or idea of something
notion,a conception of or belief about something
notion,a fanciful or foolish idea; whim
notion,a general understanding; vague or imperfect conception or idea of something
obscure,not discovered or known about; uncertain
obscurely,in a way that is not clear or is difficult to understand or see:
obscurity,in a way that is not clear or is difficult to understand or see
puzzled,unable to understand
scarcely,hardly
scarcely,by a narrow margin
shadow,"used in reference to proximity, ominous oppressiveness, or sadness and gloom"
shadow,follow and observe (someone) closely and secretly
shadow, dark area or shape produced by a body coming between rays of light and a surface
shadow,envelop in shadow; cast a shadow over
shadows,"used in reference to proximity, ominous oppressiveness, or sadness and gloom"
shadows,follow and observe (someone) closely and secretly
shadows, dark area or shape produced by a body coming between rays of light and a surface
shadows,envelop in shadow; cast a shadow over
